userid,firstname,lastname,email,CountryCode,Number,DOB,Gender,FacultyID,Passwords,usertype
24760914,David,Jones,david.jones@yahoo.com,614,81218174,13/03/1983,Male,F010,XmP9*lISNq,teacher
23581182,Charlie,Wilson,charlie.wilson@icloud.com,614,83243232,8/03/1975,Female,F006,O%COX5gn%M,guest
18271238,Bob,Smith,bob.smith@icloud.com,614,84622381,15/08/2001,Male,F008,Or_7eelcl!,student
10342544,Charlie,Smith,charlie.smith@outlook.com,614,82583187,17/09/2002,Female,F003,uP0vBAL%^!,guest
24087477,Emily,Smith,emily.smith@gmail.com,614,81866387,15/10/1971,Female,F010,Av^05etDC_,teacher
17513955,Alice,Davis,alice.davis@outlook.com,614,85112712,28/08/1992,Female,F005,?G.DWu9tq7,teacher
18232870,Emily,Garcia,emily.garcia@gmail.com,614,86518983,22/01/2003,Male,F005,2C$%z&WU7u,teacher
24268767,Charlie,Martinez,charlie.martinez@hotmail.com,614,82217136,26/11/1977,Female,F010,6tszT5JlNG,student
21588621,Grace,Hernandez,grace.hernandez@hotmail.com,614,89728673,5/04/1973,Male,F002,%cU28lLYjV,guest
22764711,Charlie,Davis,charlie.davis@icloud.com,614,84917667,2/01/1985,Female,F007,Yw@iSgb68u,guest
39217706,John,Hernandez,john.hernandez@hotmail.com,614,85675483,11/11/1967,Female,F007,Nv.4vI-.b_,teacher
11523540,John,Hernandez,john.hernandez@icloud.com,614,88518279,6/12/1999,Female,F001,kSRv0xQq@b,guest
30500923,Alice,Wilson,alice.wilson@yahoo.com,614,84367284,25/02/1966,Male,F007,qaTLishr#D,teacher
18395526,Bob,Davis,bob.davis@hotmail.com,614,86473638,10/08/1974,Female,F006,lrHmE1@BmK,teacher
15155839,Frank,Gonzalez,frank.gonzalez@hotmail.com,614,86356444,5/02/1982,Female,F003,!Ip_xH$cDN,student
26962026,Emily,Gonzalez,emily.gonzalez@yahoo.com,614,81736522,9/09/1986,Male,F002,kaUb0Y5YHF,teacher
35412424,Charlie,Davis,charlie.davis@icloud.com,614,88556383,30/01/1965,Female,F007,%k3RZ!rEn-,guest
25517740,Isabel,Gonzalez,isabel.gonzalez@outlook.com,614,83149579,28/03/1980,Male,F004,Nh-.R&4N-!,teacher
28828355,Isabel,Smith,isabel.smith@yahoo.com,614,81461493,12/01/1983,Male,F010,!9IFQgAkzA,guest
39052825,Isabel,Garcia,isabel.garcia@hotmail.com,614,87728859,4/10/1979,Male,F005,7UpM8%AW00,guest
17114886,Grace,Wilson,grace.wilson@yahoo.com,614,85275951,23/12/1985,Male,F006,I_1v?Q@QTi,guest
30089776,Emily,Gonzalez,emily.gonzalez@icloud.com,614,89315419,27/08/1981,Male,F005,2mDCnGz3Dp,guest
30097810,David,Jones,david.jones@yahoo.com,614,84197773,22/06/1980,Female,F009,toZ3pyGIK$,teacher
23364061,David,Hernandez,david.hernandez@yahoo.com,614,83589358,19/02/2000,Female,F002,aXj^few%Ng,student
35269326,John,Rodriguez,john.rodriguez@hotmail.com,614,89885279,1/09/1979,Female,F004,e109.PlXcp,guest
31775419,Bob,Rodriguez,bob.rodriguez@icloud.com,614,89237858,9/04/1999,Male,F008,DzYsMms_Q3,student
32419795,John,Hernandez,john.hernandez@hotmail.com,614,82219838,8/12/1996,Female,F008,Jo@38LBdOD,teacher
18790005,Emily,Wilson,emily.wilson@gmail.com,614,87416542,19/12/1968,Female,F009,i-kTL0l%Si,guest
12321945,Frank,Hernandez,frank.hernandez@icloud.com,614,85714478,20/08/2002,Female,F010,0Vi$z3imEn,student
14476831,John,Martinez,john.martinez@gmail.com,614,88775129,22/05/1993,Male,F002,HfTTHFSloi,teacher
16968298,Frank,Davis,frank.davis@gmail.com,614,86555329,23/11/1986,Female,F007,On*vP*eqOL,teacher
31332061,Alice,Miller,alice.miller@icloud.com,614,86617273,22/04/1964,Female,F009,U9ei2@eKbg,guest
22614180,Grace,Gonzalez,grace.gonzalez@gmail.com,614,85114884,23/12/2004,Female,F007,OLoe1Ggyl4,teacher
35292240,Alice,Martinez,alice.martinez@hotmail.com,614,84734844,26/06/1984,Male,F009,19zyg2RZtD,student
19506446,John,Miller,john.miller@yahoo.com,614,82429795,18/07/1996,Male,F004,GBjQ$aQGpa,guest
36394226,Frank,Garcia,frank.garcia@yahoo.com,614,89353827,11/06/1980,Female,F001,O$jqzMunLg,student
11689021,Harry,Smith,harry.smith@outlook.com,614,85464853,28/07/1983,Male,F003,&wXkghf2hV,guest
23725088,Bob,Miller,bob.miller@outlook.com,614,89913471,30/09/1963,Female,F006,.sCMm&Gin1,teacher
36722330,Emily,Rodriguez,emily.rodriguez@icloud.com,614,84361114,16/07/2002,Female,F003,?9Z_%UxKMk,teacher
13079338,Grace,Gonzalez,grace.gonzalez@yahoo.com,614,86577589,5/02/1969,Male,F001,EnLnNYKq%P,guest
22403100,Emily,Hernandez,emily.hernandez@outlook.com,614,89229596,18/05/2004,Male,F009,*ZQE*d8AOI,teacher
32215882,David,Davis,david.davis@outlook.com,614,84766148,25/06/1993,Female,F002,n68-%dzXg0,student
13151208,Isabel,Martinez,isabel.martinez@hotmail.com,614,81149325,3/03/2002,Male,F001,$Tq8^WxH-#,guest
34132508,John,Jones,john.jones@icloud.com,614,86788159,7/02/1982,Male,F007,01OXm!Cuo#,guest
30062890,Charlie,Miller,charlie.miller@icloud.com,614,83393567,22/03/1996,Male,F007,8w7En?MFPp,student
18555868,Alice,Jones,alice.jones@icloud.com,614,82929885,29/01/1972,Male,F009,P1ZG!v*YAW,student
16642132,Harry,Rodriguez,harry.rodriguez@outlook.com,614,82593448,2/06/1991,Male,F006,EDDr#e*WpV,guest
19417120,Harry,Smith,harry.smith@gmail.com,614,87131645,8/06/1976,Male,F007,wy2rFpGrq9,guest
13728055,Isabel,Smith,isabel.smith@outlook.com,614,86867872,14/08/2004,Male,F004,e5NEZZY?pe,guest
24708202,Frank,Martinez,frank.martinez@icloud.com,614,87845681,16/03/1975,Male,F006,2%n30GN@aY,student
15230705,Emily,Rodriguez,emily.rodriguez@hotmail.com,614,86612736,1/01/1966,Male,F007,PxrgTSt1kY,student
30680606,David,Smith,david.smith@hotmail.com,614,83553339,18/03/2004,Female,F005,uD@HYaRw9G,teacher
10223135,Frank,Jones,frank.jones@yahoo.com,614,86884315,19/03/1992,Male,F008,DXT@?S$nUf,teacher
23211407,Bob,Miller,bob.miller@gmail.com,614,88616857,23/04/1969,Male,F005,NljTtWytSd,teacher
11539316,Isabel,Miller,isabel.miller@hotmail.com,614,85825651,10/04/1967,Male,F009,eA@zRZHjLY,guest
29816769,Harry,Smith,harry.smith@outlook.com,614,89398321,25/04/1996,Male,F002,LF4ejM5*8?,student
32061460,Charlie,Smith,charlie.smith@icloud.com,614,81282652,23/12/1987,Male,F010,rW^MLrAt9V,teacher
15224346,Grace,Martinez,grace.martinez@outlook.com,614,83741963,7/10/1997,Female,F007,@@&S_tm9zz,guest
25501503,Bob,Wilson,bob.wilson@outlook.com,614,89259237,25/12/1972,Female,F008,1W7&^EdD%?,guest
21520693,Charlie,Miller,charlie.miller@outlook.com,614,85222229,2/12/1964,Male,F003,kAjVKwTSum,student
32759362,John,Martinez,john.martinez@hotmail.com,614,88379563,18/01/1978,Female,F008,Fmm#qUL$qw,teacher
17938338,Grace,Martinez,grace.martinez@outlook.com,614,89351478,19/07/1988,Male,F007,jq&g#rg41Z,teacher
24566866,Alice,Davis,alice.davis@gmail.com,614,88135355,8/10/1964,Female,F010,rK%G$P*AyW,guest
29412055,Frank,Martinez,frank.martinez@outlook.com,614,88457125,1/12/1985,Male,F006,nbZzVovHFQ,teacher
35058770,Emily,Rodriguez,emily.rodriguez@hotmail.com,614,85938299,5/07/1965,Male,F006,%c1JtMOzWR,student
